Nom de la région;Code département;Population totale
Auvergne-Rhône-Alpes;01;43454
Hauts-de-France;02;26031
Hauts-de-France;02;55940
Hauts-de-France;02;29417
Auvergne-Rhône-Alpes;03;37417
Provence-Alpes-Côte d'Azur;05;42567
Provence-Alpes-Côte d'Azur;06;74982
Provence-Alpes-Côte d'Azur;06;50385
Provence-Alpes-Côte d'Azur;06;75046
Provence-Alpes-Côte d'Azur;06;42056
Provence-Alpes-Côte d'Azur;06;51705
Provence-Alpes-Côte d'Azur;06;28942
Provence-Alpes-Côte d'Azur;06;345998
Provence-Alpes-Côte d'Azur;06;28831
Provence-Alpes-Côte d'Azur;06;26787
Grand Est;08;48420
Grand Est;10;61988
Occitanie;11;47418
Occitanie;11;55001
Occitanie;12;25747
Provence-Alpes-Côte d'Azur;13;146385
Provence-Alpes-Côte d'Azur;13;53807
Provence-Alpes-Côte d'Azur;13;45711
Provence-Alpes-Côte d'Azur;13;35758
Provence-Alpes-Côte d'Azur;13;44248
Provence-Alpes-Côte d'Azur;13;33949
Provence-Alpes-Côte d'Azur;13;870018
Provence-Alpes-Côte d'Azur;13;49310
Provence-Alpes-Côte d'Azur;13;26217
Provence-Alpes-Côte d'Azur;13;46225
Provence-Alpes-Côte d'Azur;13;34301
Normandie;14;108461
Auvergne-Rhône-Alpes;15;27659
Nouvelle-Aquitaine;16;44629
Nouvelle-Aquitaine;17;78623
Nouvelle-Aquitaine;17;26890
Centre-Val de Loire;18;67841
Centre-Val de Loire;18;27036
Nouvelle-Aquitaine;19;48333
Corse;2A;70063
Corse;2B;45596
Bourgogne-Franche-Comté;21;159031
Bretagne;22;47058
Nouvelle-Aquitaine;24;28166
Nouvelle-Aquitaine;24;31505
Bourgogne-Franche-Comté;25;120107
Bourgogne-Franche-Comté;25;26015
Auvergne-Rhône-Alpes;26;39924
Auvergne-Rhône-Alpes;26;34095
Auvergne-Rhône-Alpes;26;64322
Normandie;27;51560
Centre-Val de Loire;28;40195
